# Time	field	min	max
0.0011976	T	298.15	298.15
0.00262784	T	298.15	298.154
0.00432932	T	298.15	298.159
0.00636756	T	298.15	298.178
0.00878796	T	298.15	298.238
0.0116851	T	298.15	298.345
0.015109	T	298.15	298.519
0.0191284	T	298.15	298.79
0.0238882	T	298.15	299.202
0.0295692	T	298.15	299.823
0.0361242	T	298.15	300.712
0.0439278	T	298.15	302.005
0.0531086	T	298.15	303.85
0.0636008	T	298.15	306.386
0.0760007	T	298.15	309.942
0.0897784	T	298.15	314.612
0.105524	T	298.15	320.828
0.12127	T	298.15	328.043
0.137016	T	298.15	336.23
0.152762	T	298.15	345.367
0.168508	T	298.15	355.438
0.184254	T	298.15	366.424
0.2	T	298.15	378.313
0.218182	T	298.15	392.951
0.238384	T	298.15	410.382
0.261472	T	298.15	431.782
0.289177	T	298.15	455.737
0.316883	T	298.15	478.365
0.344589	T	298.15	499.676
0.372294	T	298.15	519.759
0.4	T	298.15	536.929
0.428571	T	298.15	554.29
0.462857	T	298.15	574.45
0.497143	T	298.15	594.082
0.531429	T	298.15	613.752
0.565714	T	298.15	634.046
0.6	T	298.15	655.356
0.64	T	298.15	697.996
0.68	T	298.15	743.148
0.72	T	298.15	788.673
0.76	T	298.15	843.726
0.8	T	298.15	902.933
0.84	T	298.15	953.597
0.88	T	298.15	1022.82
0.92	T	298.15	1087.4
0.96	T	298.15	1168.13
1	T	298.15	1267.26
1.04	T	298.15	1338.58
1.08	T	298.15	1433.87
1.12	T	298.15	1529.79
1.16	T	298.15	1575.22
1.2	T	298.15	1686.05
1.24	T	298.15	1726.11
1.28	T	298.15	1810.43
1.32	T	298.15	1845.3
1.36	T	298.15	1917.44
1.4	T	298.15	1953.65
1.44	T	298.149	2021.53
1.48	T	298.149	2046.79
1.52	T	298.149	2095.95
1.56	T	298.149	2158.65
1.6	T	298.149	2132.68
1.64	T	298.149	2171.18
1.68	T	298.148	2212.63
1.72	T	298.148	2264.59
1.76	T	298.148	2271.95
1.8	T	298.147	2306.13
1.84	T	298.147	2367.43
1.88	T	298.147	2430.71
1.92	T	298.147	2485.35
1.96	T	298.146	2516.75
2	T	298.146	2539.06
2.04	T	298.147	2550.81
2.08	T	298.147	2554.72
2.12	T	298.147	2535.12
2.16	T	298.148	2497.32
2.2	T	298.148	2425.46
2.24	T	298.149	2375.55
2.28	T	298.149	2344.47
2.32	T	298.149	2313.98
2.36	T	298.149	2276.2
2.38	T	298.148	2240.99
2.4	T	298.144	2225.21
2.41818	T	298.148	2180.38
2.43333	T	298.149	2171.05
2.44722	T	298.148	2182.05
2.46111	T	298.149	2127.85
2.475	T	298.15	2121.22
2.48889	T	298.15	2130.55
2.50278	T	298.15	2111.46
2.51667	T	298.15	2111.46
2.53056	T	298.15	2089.87
2.54444	T	298.15	2069.43
2.55833	T	298.15	2033.04
2.57222	T	298.15	2004.28
2.58611	T	298.15	1985.34
2.6	T	298.149	1971.76
2.61538	T	298.146	1960.83
2.62959	T	298.146	1942.34
2.64379	T	298.148	1916.48
2.65799	T	298.149	1879.23
2.67219	T	298.15	1827.7
2.68639	T	298.15	1791.1
2.70059	T	298.15	1804.6
2.71479	T	298.15	1821.72
2.72899	T	298.15	1841.09
2.7432	T	298.15	1855.81
2.7574	T	298.15	1872.42
2.7716	T	298.15	1890.23
2.7858	T	298.15	1906.19
2.8	T	298.15	1920.55
2.81538	T	298.15	1938.81
2.83217	T	298.15	1954.95
2.85082	T	298.15	1972.08
2.86946	T	298.15	1991.36
2.88811	T	298.15	2006.54
2.90676	T	298.15	2021.9
2.92541	T	298.15	2033.21
2.94406	T	298.15	2044.93
2.9627	T	298.15	2061.03
2.98135	T	298.15	2074.92
3	T	298.15	2085.13
3.01111	T	298.149	2085.93
3.0237	T	298.142	2080.21
3.0384	T	298.15	2072.94
3.05456	T	298.15	2073.31
3.07274	T	298.15	2082.72
3.09092	T	298.15	2088.38
3.1091	T	298.15	2096.33
3.12728	T	298.15	2096.1
3.14546	T	298.15	2084.24
3.16364	T	298.15	2067.22
3.18182	T	298.15	2057.05
3.2	T	298.149	2040.05
3.22	T	298.149	2020.01
3.24	T	298.149	2003.82
3.26	T	298.145	1994.59
3.28	T	298.141	1985.44
3.3	T	298.15	1984.05
3.32	T	298.15	1987.82
3.34	T	298.135	1986.69
3.36	T	298.15	1982.56
3.38	T	298.15	1983.96
3.4	T	298.15	1978.42
3.42	T	298.15	1981.38
