# Time	field	min	max
0.00192308	T	293	293
0.00384615	T	293	1299.9
0.00414201	T	293	1550.18
0.0042596	T	293	2064.7
0.00431497	T	293	2483.35
0.00435173	T	293	2884.83
0.00438579	T	293	3068.26
0.00442445	T	292.926	3102.19
0.00447081	T	292.821	3117.03
0.0045264	T	292.858	3075.35
0.00459308	T	292.947	3015.48
0.00467302	T	292.976	2990.07
0.00476885	T	292.967	3030.01
0.00488365	T	292.96	3065.78
0.00501954	T	292.962	2998.46
0.00517737	T	292.965	2965
0.00535738	T	292.968	3032.74
0.0055603	T	292.971	2993.26
0.00578703	T	292.973	3035.42
0.00603968	T	292.975	3038.08
0.00631968	T	292.976	3063.89
0.00661683	T	292.978	3072.37
0.00692894	T	292.979	3144.35
0.00725772	T	292.981	3166.31
0.00759695	T	292.981	3199.57
0.00795031	T	292.982	3243.94
0.00831916	T	292.983	3265.79
0.00870156	T	292.984	3288.81
0.00909866	T	292.984	3323.41
0.00951602	T	292.985	3339.81
0.00995606	T	292.985	3349.51
0.0104272	T	292.985	3358.97
0.0109345	T	292.986	3360.42
0.0114847	T	292.986	3356.62
0.0120865	T	292.987	3357.94
0.0127402	T	292.988	3376.55
0.0134567	T	292.989	3385.2
0.0142512	T	292.991	3382.87
0.0151231	T	292.994	3372.64
0.0160919	T	292.995	3349.48
0.0171515	T	292.998	3321
0.0182842	T	292.999	3289.61
0.0195041	T	293	3249.82
0.02083	T	293	3200.03
0.022219	T	293	3151.74
0.0236812	T	293	3091.7
0.0252293	T	293	3032.64
0.0267775	T	293	2984.56
0.0284363	T	293	2910.28
0.030095	T	293	2862.95
0.0319046	T	293	2778.48
0.0337141	T	293	2727.29
0.0355236	T	293	2669.77
0.0373332	T	293	2620.67
0.0391427	T	293	2571.51
0.0406938	T	293	2567.67
0.0422448	T	293	2533.36
0.0437958	T	293	2498.03
0.0450367	T	293	2509.93
0.0462775	T	293	2493.87
0.0475183	T	293	2466.59
0.0487592	T	293	2442.38
0.05	T	293	2418.02
0.0513514	T	293	2376.6
0.0527027	T	293	2346.98
0.0541807	T	293	2305.74
0.0556588	T	293	2277.29
0.0570444	T	293	2266.45
0.0584763	T	293	2241.8
0.0598604	T	293	2229.36
0.0612445	T	293	2212.48
0.0626287	T	293	2196.97
0.0640128	T	293	2181.08
0.0653969	T	293	2166.97
0.066781	T	293	2152.8
0.0681652	T	293	2139.82
0.0695493	T	293	2127.19
0.0709334	T	293	2115.61
0.0723175	T	293	2104.28
0.0737017	T	293	2093.83
0.0750858	T	293	2083.81
0.0764699	T	293	2074.45
0.077854	T	293	2065.16
0.0792381	T	293	2055.74
0.0806223	T	293	2046.59
0.0820064	T	293	2037.83
0.0833905	T	293	2029.65
0.0847746	T	293	2021.86
0.0861588	T	293	2014.3
0.0875429	T	293	2007.46
0.088927	T	293	2001.68
0.0903111	T	293	1996.23
0.0916953	T	293	1991.08
0.0930794	T	293	1986.26
0.0944635	T	293	1981.74
0.0958476	T	293	1977.45
0.0972318	T	293	1973.23
0.0986159	T	293	1969.23
0.1	T	293	1965.45
0.101515	T	293	1947.19
0.10303	T	293	1940.66
0.104596	T	293	1931.02
0.106109	T	293	1932.16
0.107623	T	293	1929.93
