# Time	field	min	max
0.00192308	T	293	293
0.00384615	T	293	1299.92
0.00414201	T	293	1550.43
0.00426975	T	293	2021.35
0.00433048	T	293	2446.47
0.00437016	T	293	2857.15
0.00440614	T	293	3040.12
0.00444682	T	292.949	3067.91
0.00449559	T	292.858	3082.32
0.00455408	T	292.884	3044.64
0.00462421	T	292.956	2993.5
0.00470824	T	292.982	3003.41
0.00480889	T	292.977	3043.28
0.0049294	T	292.968	3055.13
0.00507203	T	292.971	2988.92
0.00523843	T	292.973	2965
0.00542809	T	292.976	3039.08
0.00564238	T	292.978	2988.99
0.00588086	T	292.98	3059.69
0.00614505	T	292.982	3043.95
0.00642799	T	292.983	3084.85
0.00674145	T	292.983	3079.44
0.00707421	T	292.985	3134.22
0.00740957	T	292.986	3180.37
0.00776156	T	292.986	3251.61
0.00812568	T	292.987	3286.13
0.00850985	T	292.987	3309.21
0.00891267	T	292.987	3352.22
0.00932769	T	292.988	3384.43
0.00976503	T	292.988	3403.54
0.0102275	T	292.988	3429.2
0.0107247	T	292.989	3436.3
0.0112627	T	292.989	3438.24
0.0118586	T	292.991	3438.35
0.0124839	T	292.992	3474.66
0.0131421	T	292.994	3503.45
0.0138648	T	292.995	3515.23
0.0146678	T	292.997	3512.71
0.0155511	T	292.998	3501.41
0.0165353	T	292.999	3475.09
0.0176149	T	293	3446.05
0.0187715	T	293	3419.57
0.0200206	T	293	3382.07
0.0213833	T	293	3332.27
0.0228141	T	293	3284.13
0.0243245	T	293	3226.74
0.0259292	T	293	3163.93
0.0275339	T	293	3120.17
0.0292621	T	293	3048.11
0.0309902	T	293	2998.55
0.0328912	T	293	2915.31
0.0347922	T	293	2857.04
0.0366932	T	293	2807.14
0.0385941	T	293	2750.83
0.0404951	T	293	2704.24
0.0423961	T	293	2651.74
0.0442971	T	293	2615.84
0.0457228	T	293	2637.88
0.0471485	T	293	2624.65
0.0485743	T	293	2588.22
0.05	T	293	2566.41
0.0515625	T	293	2506
0.053125	T	293	2478.77
0.0546875	T	293	2435.82
0.0563657	T	293	2401.81
0.0578704	T	293	2381.85
0.0594907	T	293	2356.18
0.0609375	T	293	2342.91
0.0625	T	293	2319.34
0.0639423	T	293	2304.41
0.06551	T	293	2278.72
0.0670096	T	293	2259.44
0.0685806	T	293	2238.5
0.0700767	T	293	2222.85
0.0716516	T	293	2203.24
0.0731437	T	293	2192.82
0.0747234	T	293	2173.27
0.0762103	T	293	2166.42
0.0777963	T	293	2146.4
0.0792765	T	293	2143.25
0.0808706	T	293	2122.33
0.0823421	T	293	2122.78
0.0839474	T	293	2100.44
0.0854067	T	293	2104.94
0.0870282	T	293	2080.06
0.0884695	T	293	2089.33
0.0899108	T	293	2085.23
0.0913521	T	293	2078.82
0.0927934	T	293	2071.96
0.0942348	T	293	2065.67
0.0956761	T	293	2059.08
0.0971174	T	293	2052.65
0.0985587	T	293	2046.87
0.1	T	293	2041.43
0.101562	T	293	2021.57
0.103177	T	293	2007.58
0.104849	T	293	1994.22
0.106522	T	293	1986.28
0.108132	T	293	1987.09
0.109742	T	293	1983.58
0.111353	T	293	1979.8
0.112963	T	293	1975.63
0.114573	T	293	1972.8
0.116183	T	293	1969.75
0.117794	T	293	1966.74
0.119404	T	293	1964.14
0.121014	T	293	1961.47
0.122625	T	293	1959.19
