# Source : patch region0_to_panelRegion_panel
# Faces  : 10
# Time	sum(magSf)	sum(phi)	sum(HRR_fu)
0.0011976	0.1	6.77626e-20	4.92487e-07
0.00262784	0.1	8.13152e-20	4.63574e-07
0.00432932	0.1	9.48677e-20	4.63574e-07
0.00636756	0.1	-8.13152e-20	4.63574e-07
0.00878796	0.1	-3.52366e-19	4.63574e-07
0.0116851	0.1	-4.06576e-19	4.63574e-07
0.015109	0.1	-4.33681e-19	4.63574e-07
0.0191284	0.1	1.6263e-19	4.63574e-07
0.0238882	0.1	-5.42101e-19	4.63573e-07
0.0295692	0.1	-2.71051e-19	4.63573e-07
0.0361242	0.1	8.67362e-19	4.63573e-07
0.0439278	0.1	-2.1684e-19	4.63572e-07
0.0531086	0.1	1.40946e-18	4.6357e-07
0.0629013	0.1	-2.1684e-19	4.63568e-07
0.0726941	0.1	-1.0842e-18	4.63566e-07
0.0824868	0.1	-9.75782e-19	4.63562e-07
0.0922796	0.1	-1.19262e-18	4.63557e-07
0.102072	0.1	-1.30104e-18	4.63551e-07
0.111865	0.1	1.30104e-18	4.63543e-07
0.121658	0.1	4.33681e-19	4.63535e-07
0.131451	0.1	0	4.63621e-07
0.141243	0.1	6.50521e-19	4.63605e-07
0.151036	0.1	0	4.6359e-07
0.160829	0.1	-1.30104e-18	4.63575e-07
0.170622	0.1	-2.1684e-19	4.63559e-07
0.180414	0.1	-2.1684e-19	4.63543e-07
0.190207	0.1	-1.30104e-18	4.63528e-07
0.2	0.1	-1.0842e-18	4.63514e-07
0.209524	0.1	-6.50521e-19	4.63502e-07
0.219048	0.1	-1.30104e-18	4.63489e-07
0.228571	0.1	-6.50521e-19	4.64223e-07
0.238095	0.1	4.33681e-19	4.64161e-07
0.247619	0.1	-2.1684e-19	4.64107e-07
0.257143	0.1	-1.73472e-18	4.64059e-07
0.266667	0.1	0	4.64017e-07
0.27619	0.1	-8.67362e-19	4.63977e-07
0.285714	0.1	0	4.63939e-07
0.295238	0.1	8.67362e-19	4.63903e-07
0.304762	0.1	4.33681e-19	4.63869e-07
0.314286	0.1	-1.30104e-18	4.63835e-07
0.32381	0.1	4.33681e-19	4.64059e-07
0.333333	0.1	0	4.64016e-07
