# Source : patch region0_to_panelRegion_panel
# Faces  : 10
# Time	sum(magSf)	areaIntegrate(Qr)
0.0011976	0.1	0
0.00262784	0.1	0
0.00432932	0.1	0
0.00636756	0.1	0
0.00878796	0.1	0
0.0116851	0.1	0
0.015109	0.1	0
0.0191284	0.1	0
0.0238882	0.1	0
0.0295692	0.1	5.37695
0.0361242	0.1	5.37695
0.0439278	0.1	5.37695
0.0531086	0.1	5.37695
0.0629013	0.1	5.37695
0.0726941	0.1	5.37695
0.0824868	0.1	5.37695
0.0922796	0.1	5.37695
0.102072	0.1	5.37695
0.111865	0.1	5.37695
0.121658	0.1	208.572
0.131451	0.1	208.572
0.141243	0.1	208.572
0.151036	0.1	208.572
0.160829	0.1	208.572
0.170622	0.1	208.572
0.180414	0.1	208.572
0.190207	0.1	208.572
0.2	0.1	208.572
0.209524	0.1	208.572
0.219048	0.1	350.273
0.228571	0.1	350.273
0.238095	0.1	350.273
0.247619	0.1	350.273
0.257143	0.1	350.273
0.266667	0.1	350.273
0.27619	0.1	350.273
0.285714	0.1	350.273
0.295238	0.1	350.273
0.304762	0.1	350.273
0.314286	0.1	383.547
0.32381	0.1	383.547
0.333333	0.1	383.547
0.342857	0.1	383.547
0.352381	0.1	383.547
0.361905	0.1	383.547
0.371429	0.1	383.547
0.380952	0.1	383.547
0.390476	0.1	383.547
0.4	0.1	383.547
0.409524	0.1	453.231
0.419048	0.1	453.231
0.428571	0.1	453.231
0.438095	0.1	453.231
0.447619	0.1	453.231
0.457143	0.1	453.231
0.466667	0.1	453.231
0.47619	0.1	453.231
0.485714	0.1	453.231
0.495238	0.1	453.231
0.504762	0.1	777.36
0.514286	0.1	777.36
0.52381	0.1	777.36
0.533333	0.1	777.36
0.542857	0.1	777.36
0.552381	0.1	777.36
0.561905	0.1	777.36
0.571429	0.1	777.36
0.580952	0.1	777.36
0.590476	0.1	777.36
0.6	0.1	1200.98
0.61	0.1	1200.98
0.62	0.1	1200.98
0.63	0.1	1200.98
0.64	0.1	1200.98
0.65	0.1	1200.98
0.66	0.1	1200.98
0.67	0.1	1200.98
0.68	0.1	1200.98
0.69	0.1	1200.98
0.7	0.1	1767.73
0.71	0.1	1767.73
0.72	0.1	1767.73
0.73	0.1	1767.73
0.74	0.1	1767.73
0.75	0.1	1767.73
0.76	0.1	1767.73
0.77	0.1	1767.73
0.78	0.1	1767.73
0.79	0.1	1767.73
0.8	0.1	2265.62
0.81	0.1	2265.62
0.82	0.1	2265.62
0.83	0.1	2265.62
0.84	0.1	2265.62
0.85	0.1	2265.62
0.86	0.1	2265.62
0.87	0.1	2265.62
0.88	0.1	2265.62
0.89	0.1	2265.62
0.9	0.1	2347.31
0.91	0.1	2347.31
0.92	0.1	2347.31
0.93	0.1	2347.31
0.94	0.1	2347.31
0.95	0.1	2347.31
0.96	0.1	2347.31
0.97	0.1	2347.31
0.98	0.1	2347.31
0.99	0.1	2347.31
1	0.1	2246.25
1.00952	0.1	2246.25
1.01905	0.1	2246.25
1.02857	0.1	2246.25
1.0381	0.1	2246.25
1.04762	0.1	2246.25
1.05714	0.1	2246.25
1.06667	0.1	2246.25
1.07619	0.1	2246.25
1.08571	0.1	2246.25
1.09524	0.1	2201.34
1.10476	0.1	2201.34
1.11429	0.1	2201.34
1.12381	0.1	2201.34
1.13333	0.1	2201.34
1.14286	0.1	2201.34
1.15238	0.1	2201.34
1.1619	0.1	2201.34
1.17143	0.1	2201.34
1.18095	0.1	2201.34
1.19048	0.1	1765.76
1.2	0.1	1765.76
1.21	0.1	1765.76
1.22	0.1	1765.76
1.23	0.1	1765.76
1.24	0.1	1765.76
1.25	0.1	1765.76
1.26	0.1	1765.76
1.27	0.1	1765.76
1.28	0.1	1765.76
1.29	0.1	1473.24
1.3	0.1	1473.24
1.31	0.1	1473.24
1.32	0.1	1473.24
1.33	0.1	1473.24
1.34	0.1	1473.24
1.35	0.1	1473.24
1.36	0.1	1473.24
1.37	0.1	1473.24
1.38	0.1	1473.24
1.39	0.1	1380.37
1.4	0.1	1380.37
1.41	0.1	1380.37
1.42	0.1	1380.37
1.43	0.1	1380.37
1.44	0.1	1380.37
1.45	0.1	1380.37
1.46	0.1	1380.37
1.47	0.1	1380.37
1.48	0.1	1380.37
1.49	0.1	1399.15
1.5	0.1	1399.15
1.51	0.1	1399.15
1.52	0.1	1399.15
1.53	0.1	1399.15
1.54	0.1	1399.15
1.55	0.1	1399.15
1.56	0.1	1399.15
1.57	0.1	1399.15
1.58	0.1	1399.15
1.59	0.1	1399.02
1.6	0.1	1399.02
1.61	0.1	1399.02
1.62	0.1	1399.02
1.63	0.1	1399.02
1.64	0.1	1399.02
1.65	0.1	1399.02
1.66	0.1	1399.02
1.67	0.1	1399.02
1.68	0.1	1399.02
1.69	0.1	1322.33
1.7	0.1	1322.33
1.71	0.1	1322.33
1.72	0.1	1322.33
1.73	0.1	1322.33
1.74	0.1	1322.33
1.75	0.1	1322.33
1.76	0.1	1322.33
1.77	0.1	1322.33
1.78	0.1	1322.33
1.79	0.1	1235.71
1.8	0.1	1235.71
1.81	0.1	1235.71
1.82	0.1	1235.71
1.83	0.1	1235.71
1.84	0.1	1235.71
1.85	0.1	1235.71
1.86	0.1	1235.71
1.87	0.1	1235.71
1.88	0.1	1235.71
1.89	0.1	1204.37
1.9	0.1	1204.37
1.91	0.1	1204.37
1.92	0.1	1204.37
1.93	0.1	1204.37
1.94	0.1	1204.37
1.95	0.1	1204.37
1.96	0.1	1204.37
1.97	0.1	1204.37
1.98	0.1	1204.37
1.99	0.1	1175.04
2	0.1	1175.04
2.00952	0.1	1175.04
2.01905	0.1	1175.04
2.02857	0.1	1175.04
2.0381	0.1	1175.04
2.04762	0.1	1175.04
2.05714	0.1	1175.04
2.06667	0.1	1175.04
2.07619	0.1	1175.04
2.08571	0.1	1200.96
2.09524	0.1	1200.96
2.10476	0.1	1200.96
2.11429	0.1	1200.96
2.12381	0.1	1200.96
2.13333	0.1	1200.96
2.14286	0.1	1200.96
2.15238	0.1	1200.96
2.1619	0.1	1200.96
2.17143	0.1	1200.96
2.18095	0.1	1240.47
2.19048	0.1	1240.47
2.2	0.1	1240.47
2.20952	0.1	1240.47
2.21905	0.1	1240.47
2.22857	0.1	1240.47
2.2381	0.1	1240.47
2.24762	0.1	1240.47
2.25714	0.1	1240.47
2.26667	0.1	1240.47
2.27619	0.1	1246.86
2.28571	0.1	1246.86
2.29524	0.1	1246.86
2.30476	0.1	1246.86
2.31429	0.1	1246.86
2.32381	0.1	1246.86
2.33333	0.1	1246.86
2.34286	0.1	1246.86
2.35238	0.1	1246.86
2.3619	0.1	1246.86
2.37143	0.1	1312.47
2.38095	0.1	1312.47
2.39048	0.1	1312.47
2.4	0.1	1312.47
2.41	0.1	1312.47
2.42	0.1	1312.47
2.42947	0.1	1312.47
2.43895	0.1	1312.47
2.44842	0.1	1312.47
2.45789	0.1	1312.47
2.46737	0.1	1399.34
2.47684	0.1	1399.34
2.48632	0.1	1399.34
2.49579	0.1	1399.34
2.50526	0.1	1399.34
2.51474	0.1	1399.34
2.52421	0.1	1399.34
2.53368	0.1	1399.34
2.54316	0.1	1399.34
2.55263	0.1	1399.34
2.56211	0.1	1458.36
2.57158	0.1	1458.36
2.58105	0.1	1458.36
2.59053	0.1	1458.36
2.6	0.1	1458.36
2.60952	0.1	1458.36
2.61905	0.1	1458.36
2.62857	0.1	1458.36
2.6381	0.1	1458.36
2.64762	0.1	1458.36
2.65714	0.1	1634.12
2.66667	0.1	1634.12
2.67619	0.1	1634.12
2.68571	0.1	1634.12
2.69524	0.1	1634.12
2.70476	0.1	1634.12
2.71429	0.1	1634.12
2.72381	0.1	1634.12
2.73333	0.1	1634.12
2.74286	0.1	1634.12
2.75238	0.1	1930.07
2.7619	0.1	1930.07
2.77143	0.1	1930.07
2.78095	0.1	1930.07
2.79048	0.1	1930.07
2.8	0.1	1930.07
2.81	0.1	1930.07
2.82	0.1	1930.07
2.82947	0.1	1930.07
2.83895	0.1	1930.07
2.84842	0.1	2325.76
2.85789	0.1	2325.76
2.86737	0.1	2325.76
2.87684	0.1	2325.76
2.88632	0.1	2325.76
2.89579	0.1	2325.76
2.90526	0.1	2325.76
2.91474	0.1	2325.76
2.92421	0.1	2325.76
2.93368	0.1	2325.76
2.94316	0.1	2633.38
2.95263	0.1	2633.38
2.96211	0.1	2633.38
2.97158	0.1	2633.38
2.98105	0.1	2633.38
2.99053	0.1	2633.38
3	0.1	2633.38
