# Source : patch region0_to_panelRegion_panel
# Faces  : 10
# Time	sum(magSf)	sum(phiGas)
0.0011976	0.1	0
0.00262784	0.1	0
0.00432932	0.1	0
0.00636756	0.1	0
0.00878796	0.1	0
0.0116851	0.1	0
0.015109	0.1	0
0.0191284	0.1	0
0.0238882	0.1	0
0.0295692	0.1	0
0.0361242	0.1	0
0.0439278	0.1	0
0.0531086	0.1	0
0.0629013	0.1	0
0.0726941	0.1	0
0.0824868	0.1	0
0.0922796	0.1	0
0.102072	0.1	0
0.111865	0.1	0
0.121658	0.1	0
0.131451	0.1	0
0.141243	0.1	0
0.151036	0.1	0
0.160829	0.1	0
0.170622	0.1	0
0.180414	0.1	0
0.190207	0.1	0
0.2	0.1	0
0.209524	0.1	0
0.219048	0.1	0
0.228571	0.1	0
0.238095	0.1	0
0.247619	0.1	0
0.257143	0.1	0
0.266667	0.1	0
0.27619	0.1	0
0.285714	0.1	0
0.295238	0.1	0
0.304762	0.1	0
0.314286	0.1	0
0.32381	0.1	0
0.333333	0.1	0
0.342857	0.1	0
0.352381	0.1	0
0.361905	0.1	0
0.371429	0.1	0
0.380952	0.1	0
0.390476	0.1	0
0.4	0.1	0
0.409524	0.1	0
0.419048	0.1	0
0.428571	0.1	0
0.438095	0.1	0
0.447619	0.1	0
0.457143	0.1	0
0.466667	0.1	0
0.47619	0.1	0
0.485714	0.1	0
0.495238	0.1	0
0.504762	0.1	0
0.514286	0.1	0
0.52381	0.1	0
0.533333	0.1	0
0.542857	0.1	0
0.552381	0.1	1.0877e-09
0.561905	0.1	1.19665e-09
0.571429	0.1	1.31441e-09
0.580952	0.1	1.44102e-09
0.590476	0.1	1.577e-09
0.6	0.1	1.72307e-09
0.61	0.1	2.12553e-09
0.62	0.1	2.61928e-09
0.63	0.1	3.19748e-09
0.64	0.1	3.87098e-09
0.65	0.1	4.65183e-09
0.66	0.1	5.55327e-09
0.67	0.1	6.58976e-09
0.68	0.1	8.91612e-09
0.69	0.1	1.05939e-08
0.7	0.1	1.25344e-08
0.71	0.1	1.46765e-08
0.72	0.1	1.71178e-08
0.73	0.1	2.12133e-08
0.74	0.1	2.51738e-08
0.75	0.1	2.99502e-08
0.76	0.1	3.57457e-08
0.77	0.1	4.28152e-08
0.78	0.1	5.14763e-08
0.79	0.1	6.21257e-08
0.8	0.1	7.52455e-08
0.81	0.1	8.5701e-08
0.82	0.1	9.78869e-08
0.83	0.1	1.13409e-07
0.84	0.1	1.30635e-07
0.85	0.1	1.50822e-07
0.86	0.1	1.74558e-07
0.87	0.1	2.02598e-07
0.88	0.1	2.35901e-07
0.89	0.1	2.7568e-07
0.9	0.1	3.24624e-07
0.91	0.1	3.6205e-07
0.92	0.1	4.05299e-07
0.93	0.1	4.55921e-07
0.94	0.1	5.13331e-07
0.95	0.1	5.77193e-07
0.96	0.1	6.48901e-07
0.97	0.1	7.29164e-07
0.98	0.1	8.18772e-07
0.99	0.1	9.18609e-07
1	0.1	1.02965e-06
1.00952	0.1	1.16367e-06
1.01905	0.1	1.30786e-06
1.02857	0.1	1.47097e-06
1.0381	0.1	1.65176e-06
1.04762	0.1	1.85255e-06
1.05714	0.1	2.07616e-06
1.06667	0.1	2.32185e-06
1.07619	0.1	2.59229e-06
1.08571	0.1	2.8893e-06
1.09524	0.1	3.21586e-06
1.10476	0.1	3.51538e-06
1.11429	0.1	3.84044e-06
1.12381	0.1	4.19299e-06
1.13333	0.1	4.57337e-06
1.14286	0.1	4.98177e-06
1.15238	0.1	5.42046e-06
1.1619	0.1	5.89077e-06
1.17143	0.1	6.39415e-06
1.18095	0.1	6.93316e-06
1.19048	0.1	7.5074e-06
1.2	0.1	7.9428e-06
1.21	0.1	8.40421e-06
1.22	0.1	8.92127e-06
1.23	0.1	9.46791e-06
1.24	0.1	1.00452e-05
1.25	0.1	1.0651e-05
1.26	0.1	1.12873e-05
1.27	0.1	1.1952e-05
1.28	0.1	1.26457e-05
1.29	0.1	1.33684e-05
1.3	0.1	1.41165e-05
1.31	0.1	1.4893e-05
1.32	0.1	1.56973e-05
1.33	0.1	1.65286e-05
1.34	0.1	1.73861e-05
1.35	0.1	1.8269e-05
1.36	0.1	1.91766e-05
1.37	0.1	2.01081e-05
1.38	0.1	2.10635e-05
1.39	0.1	2.204e-05
1.4	0.1	2.34145e-05
1.41	0.1	2.47983e-05
1.42	0.1	2.61964e-05
1.43	0.1	2.76102e-05
1.44	0.1	2.90397e-05
1.45	0.1	3.04807e-05
1.46	0.1	3.1933e-05
1.47	0.1	3.33921e-05
1.48	0.1	3.48569e-05
1.49	0.1	3.63251e-05
1.5	0.1	3.74217e-05
1.51	0.1	3.85506e-05
1.52	0.1	3.97018e-05
1.53	0.1	4.08723e-05
1.54	0.1	4.20596e-05
1.55	0.1	4.32615e-05
1.56	0.1	4.44764e-05
1.57	0.1	4.57027e-05
1.58	0.1	4.69389e-05
1.59	0.1	4.81839e-05
1.6	0.1	4.78905e-05
1.61	0.1	4.78234e-05
1.62	0.1	4.79153e-05
1.63	0.1	4.81377e-05
1.64	0.1	4.84686e-05
1.65	0.1	4.88908e-05
1.66	0.1	4.93903e-05
1.67	0.1	4.99559e-05
1.68	0.1	5.05784e-05
1.69	0.1	5.12503e-05
1.7	0.1	5.06173e-05
1.71	0.1	5.02333e-05
1.72	0.1	5.00273e-05
1.73	0.1	4.99661e-05
1.74	0.1	5.00246e-05
1.75	0.1	5.01828e-05
1.76	0.1	5.04251e-05
1.77	0.1	5.07384e-05
1.78	0.1	5.11124e-05
1.79	0.1	5.15381e-05
1.8	0.1	5.15385e-05
1.81	0.1	5.16494e-05
1.82	0.1	5.18434e-05
1.83	0.1	5.21087e-05
1.84	0.1	5.2433e-05
1.85	0.1	5.28084e-05
1.86	0.1	5.3228e-05
1.87	0.1	5.36865e-05
1.88	0.1	5.41789e-05
1.89	0.1	5.46931e-05
1.9	0.1	5.54274e-05
1.91	0.1	5.61581e-05
1.92	0.1	5.68906e-05
1.93	0.1	5.76279e-05
1.94	0.1	5.83715e-05
1.95	0.1	5.91226e-05
1.96	0.1	5.98821e-05
1.97	0.1	6.06508e-05
1.98	0.1	6.14292e-05
1.99	0.1	6.22179e-05
2	0.1	6.25533e-05
2.00952	0.1	6.31221e-05
2.01905	0.1	6.35985e-05
2.02857	0.1	6.41374e-05
2.0381	0.1	6.47271e-05
2.04762	0.1	6.5361e-05
2.05714	0.1	6.6033e-05
2.06667	0.1	6.6739e-05
2.07619	0.1	6.74756e-05
2.08571	0.1	6.82394e-05
2.09524	0.1	6.91296e-05
2.10476	0.1	7.00446e-05
2.11429	0.1	7.0983e-05
2.12381	0.1	7.19426e-05
2.13333	0.1	7.29218e-05
2.14286	0.1	7.39192e-05
2.15238	0.1	7.49339e-05
2.1619	0.1	7.59646e-05
2.17143	0.1	7.70106e-05
2.18095	0.1	7.80709e-05
2.19048	0.1	7.9986e-05
2.2	0.1	8.18048e-05
2.20952	0.1	8.35586e-05
2.21905	0.1	8.52592e-05
2.22857	0.1	8.69184e-05
2.2381	0.1	8.85411e-05
2.24762	0.1	9.0134e-05
2.25714	0.1	9.17034e-05
2.26667	0.1	9.32539e-05
2.27619	0.1	9.47892e-05
2.28571	0.1	9.64256e-05
2.29524	0.1	9.80281e-05
2.30476	0.1	9.96063e-05
2.31429	0.1	0.000101167
2.32381	0.1	0.000102712
2.33333	0.1	0.000104246
2.34286	0.1	0.000105773
2.35238	0.1	0.000107294
2.3619	0.1	0.00010881
2.37143	0.1	0.000110321
2.38095	0.1	0.000113713
2.39048	0.1	0.000116885
2.4	0.1	0.000119899
2.41	0.1	0.000122444
2.42	0.1	0.000125373
2.42947	0.1	0.000128578
2.43895	0.1	0.000131105
2.44842	0.1	0.000133562
2.45789	0.1	0.000135958
2.46737	0.1	0.000138301
2.47684	0.1	0.000142697
2.48632	0.1	0.000146701
2.49579	0.1	0.00015042
2.50526	0.1	0.000153907
2.51474	0.1	0.000157202
2.52421	0.1	0.00016034
2.53368	0.1	0.000163352
2.54316	0.1	0.000166261
2.55263	0.1	0.000169088
2.56211	0.1	0.000171847
2.57158	0.1	0.000179112
2.58105	0.1	0.000185406
2.59053	0.1	0.000191108
2.6	0.1	0.00019615
2.60952	0.1	0.000200611
2.61905	0.1	0.00020475
2.62857	0.1	0.000208567
2.6381	0.1	0.000212151
2.64762	0.1	0.000215568
2.65714	0.1	0.000218871
2.66667	0.1	0.0002547
2.67619	0.1	0.000283123
2.68571	0.1	0.000303971
2.69524	0.1	0.000318532
2.70476	0.1	0.000328913
2.71429	0.1	0.000336854
2.72381	0.1	0.00034348
2.73333	0.1	0.000349433
2.74286	0.1	0.000355055
2.75238	0.1	0.000360523
2.7619	0.1	0.000365528
2.77143	0.1	0.000374214
2.78095	0.1	0.000384037
2.79048	0.1	0.000394095
2.8	0.1	0.000403992
2.81	0.1	0.000411785
2.82	0.1	0.000422155
2.82947	0.1	0.000433858
2.83895	0.1	0.000441716
2.84842	0.1	0.000449689
2.85789	0.1	0.000447278
2.86737	0.1	0.000451466
2.87684	0.1	0.000457903
2.88632	0.1	0.000465335
2.89579	0.1	0.000473287
2.90526	0.1	0.000481475
2.91474	0.1	0.000489779
2.92421	0.1	0.000498245
2.93368	0.1	0.000506862
2.94316	0.1	0.00051559
2.95263	0.1	0.000536197
2.96211	0.1	0.000549989
2.97158	0.1	0.000561555
2.98105	0.1	0.000572231
2.99053	0.1	0.000582547
3	0.1	0.000592721
