# Time	field	min	max
0.0011976	T	298.15	298.15
0.00262784	T	298.15	298.154
0.00432932	T	298.15	298.167
0.00636756	T	298.15	298.197
0.00878796	T	298.15	298.257
0.0116851	T	298.15	298.363
0.015109	T	298.15	298.537
0.0191284	T	298.15	298.808
0.0238882	T	298.15	299.221
0.0295692	T	298.15	299.841
0.0361242	T	298.15	300.73
0.0439278	T	298.15	302.023
0.0531086	T	298.15	303.868
0.0636008	T	298.15	306.403
0.0760007	T	298.15	309.959
0.0897784	T	298.15	314.629
0.105524	T	298.15	320.845
0.12127	T	298.15	328.06
0.137016	T	298.15	336.247
0.152762	T	298.15	345.385
0.168508	T	298.15	355.455
0.184254	T	298.15	366.442
0.2	T	298.15	378.33
0.218182	T	298.15	392.968
0.238384	T	298.15	410.409
0.261472	T	298.15	431.809
0.289177	T	298.15	455.765
0.316883	T	298.15	478.393
0.344589	T	298.15	499.706
0.372294	T	298.15	519.796
0.4	T	298.15	536.949
0.428571	T	298.15	554.315
0.462857	T	298.15	574.484
0.497143	T	298.15	594.126
0.531429	T	298.15	613.806
0.565714	T	298.15	634.113
0.6	T	298.15	655.443
0.64	T	298.15	698.167
0.68	T	298.15	743.328
0.72	T	298.15	788.881
0.76	T	298.15	844
0.8	T	298.15	903.285
0.84	T	298.15	954.01
0.88	T	298.15	1023.16
0.92	T	298.15	1087.73
0.96	T	298.15	1168.69
1	T	298.15	1267.77
1.04	T	298.15	1340.85
1.08	T	298.15	1435.2
1.12	T	298.15	1529.9
1.16	T	298.15	1579.91
1.2	T	298.15	1688.2
1.24	T	298.15	1726.47
1.28	T	298.15	1814.02
1.32	T	298.15	1863.92
1.36	T	298.15	1924.38
1.4	T	298.15	1965.49
1.44	T	298.15	2020.63
1.48	T	298.15	2060.64
1.52	T	298.15	2094.81
1.56	T	298.15	2165.93
1.6	T	298.149	2134.86
1.64	T	298.149	2171.43
1.68	T	298.149	2214.51
1.72	T	298.149	2250.54
1.76	T	298.149	2298.51
1.8	T	298.149	2306.03
1.84	T	298.148	2364.45
1.88	T	298.148	2429.28
1.92	T	298.148	2482.14
1.96	T	298.147	2511.1
2	T	298.147	2534.49
2.04	T	298.147	2546.95
2.08	T	298.148	2554.78
2.12	T	298.148	2538.94
2.16	T	298.148	2500.16
2.2	T	298.148	2427.89
2.24	T	298.149	2376.16
2.28	T	298.149	2347.45
2.32	T	298.149	2325.13
2.36	T	298.128	2288.49
2.38	T	298.135	2257.1
2.4	T	298.138	2230.44
2.41818	T	298.141	2179.16
2.43333	T	298.143	2165.98
2.44722	T	298.145	2178.25
2.45995	T	298.146	2128.88
2.47396	T	298.147	2122.27
2.48796	T	298.148	2122
2.50197	T	298.148	2098.01
2.51597	T	298.149	2098.01
2.52998	T	298.149	2073.15
2.54398	T	298.149	2049.34
2.55799	T	298.15	2009.37
2.57199	T	298.15	1971.76
2.586	T	298.149	1938.38
2.6	T	298.148	1882.32
2.61429	T	298.146	1787.19
2.62755	T	298.146	1770.96
2.64192	T	298.147	1772.93
2.65773	T	298.149	1782.56
2.67354	T	298.15	1794.07
2.68935	T	298.15	1804.93
2.70318	T	298.15	1812.73
2.71701	T	298.15	1822.96
2.73084	T	298.15	1837.58
2.74467	T	298.15	1850.51
2.7585	T	298.15	1875.76
2.77234	T	298.15	1897.48
2.78617	T	298.15	1913.56
2.8	T	298.15	1927.72
2.81538	T	298.15	1945.29
2.83217	T	298.15	1957.36
2.85082	T	298.15	1976.74
2.86946	T	298.15	1991.14
2.88811	T	298.15	2000.34
2.90676	T	298.15	2014.47
2.92541	T	298.15	2027.59
2.94406	T	298.15	2043.13
2.9627	T	298.15	2057.08
2.98135	T	298.15	2071.39
3	T	298.15	2080.18
3.02	T	298.15	2085.54
3.0425	T	298.15	2096.63
3.053	T	298.15	2080.63
3.06431	T	298.147	2069.19
3.07788	T	298.149	2061.7
3.09314	T	298.15	2064.7
3.10841	T	298.15	2064.6
3.12367	T	298.15	2064.13
3.13894	T	298.15	2059.99
3.1542	T	298.148	2046.37
3.16947	T	298.15	2031.48
3.18473	T	298.15	2018.23
3.2	T	298.15	2007.65
3.21667	T	298.147	1999.18
3.235	T	298.143	1997.09
3.25333	T	298.148	1987.56
3.27167	T	298.149	1994.27
3.29	T	298.144	1994.18
3.30833	T	298.146	1993.33
3.32667	T	298.146	2002.5
3.345	T	298.15	2010.31
3.36333	T	298.15	2010.83
3.38167	T	298.15	2009.04
