# Source : all c0
# Cells  : 500
# Time	sum(V)	volIntegrate(dQ)
0.00192308	8e-07	0
0.00384615	8e-07	40.4485
0.00414201	8e-07	65.433
0.0042596	8e-07	124.281
0.00431497	8e-07	172.906
0.00435173	8e-07	161.206
0.00438579	8e-07	107.726
0.00442445	8e-07	64.4131
0.00447081	8e-07	42.3123
0.0045264	8e-07	30.2351
0.00459308	8e-07	25.5849
0.00467302	8e-07	24.6642
0.00476885	8e-07	23.1775
0.00488365	8e-07	22.7077
0.00501954	8e-07	20.2415
0.00517737	8e-07	20.3771
0.00535738	8e-07	21.5344
0.0055603	8e-07	19.3048
0.00578703	8e-07	19.8245
0.00603968	8e-07	18.2769
0.00631968	8e-07	17.7837
0.00661683	8e-07	17.5382
0.00692894	8e-07	17.3645
0.00725772	8e-07	16.4387
0.00759695	8e-07	15.9651
0.00795031	8e-07	15.1724
0.00831916	8e-07	14.1316
0.00870156	8e-07	13.7273
0.00909866	8e-07	13.1012
0.00951602	8e-07	12.0281
0.00995606	8e-07	11.5356
0.0104272	8e-07	10.8909
0.0109345	8e-07	10.1014
0.0114847	8e-07	9.61153
0.0120865	8e-07	9.15512
0.0127402	8e-07	8.81556
0.0134567	8e-07	8.36956
0.0142512	8e-07	7.9591
0.0151231	8e-07	7.69951
0.0160919	8e-07	7.34562
0.0171515	8e-07	7.19178
0.0182842	8e-07	7.14253
0.0195041	8e-07	6.92211
0.02083	8e-07	6.67171
0.022219	8e-07	6.72625
0.0236812	8e-07	6.59391
0.0252293	8e-07	6.41627
0.0267775	8e-07	6.64116
0.0284363	8e-07	6.22982
0.030095	8e-07	6.50606
0.0319046	8e-07	5.90951
0.0337141	8e-07	6.31348
0.0355236	8e-07	6.28287
0.0373332	8e-07	6.3499
0.0391427	8e-07	6.28758
0.0406938	8e-07	7.30774
0.0422448	8e-07	6.62046
0.0437958	8e-07	6.49829
0.0450367	8e-07	7.9844
0.0462775	8e-07	6.85618
0.0475183	8e-07	6.57882
0.0487592	8e-07	6.462
0.05	8e-07	6.31523
0.0513514	8e-07	5.71859
0.0527027	8e-07	6.05584
0.0541807	8e-07	5.56418
0.0556588	8e-07	5.86278
0.0570444	8e-07	6.32407
0.0584763	8e-07	5.90451
0.0598604	8e-07	6.19122
0.0612445	8e-07	6.03109
0.0626287	8e-07	5.98557
0.0640128	8e-07	5.94676
0.0653969	8e-07	5.91429
0.066781	8e-07	5.87883
0.0681652	8e-07	5.85473
0.0695493	8e-07	5.83033
0.0709334	8e-07	5.80439
0.0723175	8e-07	5.78038
0.0737017	8e-07	5.76118
0.0750858	8e-07	5.74052
0.0764699	8e-07	5.72179
0.077854	8e-07	5.70076
0.0792381	8e-07	5.67135
