# Source : all c0
# Cells  : 500
# Time	sum(V)	volIntegrate(dQ)
0.00192308	8e-07	0
0.00384615	8e-07	40.614
0.00414201	8e-07	61.157
0.00426975	8e-07	110.024
0.00433048	8e-07	162.535
0.00437016	8e-07	153.188
0.00440614	8e-07	104.903
0.00444682	8e-07	64.6543
0.00449559	8e-07	43.5891
0.00455408	8e-07	30.6936
0.00462421	8e-07	25.899
0.00470824	8e-07	24.915
0.00480889	8e-07	22.9492
0.0049294	8e-07	21.9935
0.00507203	8e-07	19.9128
0.00523843	8e-07	20.0756
0.00542809	8e-07	20.8681
0.00564238	8e-07	18.8752
0.00588086	8e-07	19.8502
0.00614505	8e-07	18.0069
0.00642799	8e-07	18.367
0.00674145	8e-07	16.5082
0.00707421	8e-07	16.8152
0.00740957	8e-07	16.81
0.00776156	8e-07	16.0288
0.00812568	8e-07	15.0445
0.00850985	8e-07	13.9233
0.00891267	8e-07	13.2255
0.00932769	8e-07	12.7629
0.00976503	8e-07	11.836
0.0102275	8e-07	11.2191
0.0107247	8e-07	10.3808
0.0112627	8e-07	9.74676
0.0118586	8e-07	9.05951
0.0124839	8e-07	8.97533
0.0131421	8e-07	8.65331
0.0138648	8e-07	8.04177
0.0146678	8e-07	7.54449
0.0155511	8e-07	7.20926
0.0165353	8e-07	6.80308
0.0176149	8e-07	6.64323
0.0187715	8e-07	6.58415
0.0200206	8e-07	6.38178
0.0213833	8e-07	6.12644
0.0228141	8e-07	6.13277
0.0243245	8e-07	5.97959
0.0259292	8e-07	5.82456
0.0275339	8e-07	6.08257
0.0292621	8e-07	5.61525
0.0309902	8e-07	5.85522
0.0328912	8e-07	5.35456
0.0347922	8e-07	5.65863
0.0366932	8e-07	5.70531
0.0385941	8e-07	5.69329
0.0404951	8e-07	5.6968
0.0423961	8e-07	5.69382
0.0442971	8e-07	5.6759
0.0457228	8e-07	7.45964
0.0471485	8e-07	6.28641
0.0485743	8e-07	6.03964
0.05	8e-07	5.90943
0.0515625	8e-07	5.24944
0.053125	8e-07	5.52479
0.0546875	8e-07	5.54088
0.0563657	8e-07	5.19208
0.0578704	8e-07	6.00557
0.0594907	8e-07	5.29029
0.0609375	8e-07	6.11511
0.0625	8e-07	5.31127
0.0639423	8e-07	5.93833
0.06551	8e-07	5.21839
0.0670096	8e-07	5.67012
0.0685806	8e-07	5.29244
0.0700767	8e-07	5.67743
0.0716516	8e-07	5.25823
0.0731437	8e-07	5.6922
0.0747234	8e-07	5.21643
0.0762103	8e-07	5.70698
0.0777963	8e-07	5.17345
0.0792765	8e-07	5.73804
0.0808706	8e-07	5.12259
0.0823421	8e-07	5.78357
0.0839474	8e-07	5.06393
0.0854067	8e-07	5.85286
0.0870282	8e-07	4.97649
0.0884695	8e-07	5.95331
0.0899108	8e-07	5.55318
0.0913521	8e-07	5.50544
0.0927934	8e-07	5.48269
0.0942348	8e-07	5.45805
0.0956761	8e-07	5.43682
0.0971174	8e-07	5.44069
0.0985587	8e-07	5.44543
0.1	8e-07	5.44242
0.101562	8e-07	5.02461
0.103177	8e-07	5.13967
0.104849	8e-07	5.10662
0.106522	8e-07	5.26522
0.108132	8e-07	5.5283
0.109742	8e-07	5.43912
0.111353	8e-07	5.44554
0.112963	8e-07	5.44995
0.114573	8e-07	5.44994
0.116183	8e-07	5.45351
0.117794	8e-07	5.46695
0.119404	8e-07	5.48102
0.121014	8e-07	5.50614
0.122625	8e-07	5.5131
0.124235	8e-07	5.5167
0.125845	8e-07	5.52005
0.127456	8e-07	5.52387
0.129066	8e-07	5.52932
0.130676	8e-07	5.54046
0.132287	8e-07	5.54681
0.133897	8e-07	5.57666
0.135507	8e-07	5.58328
0.137118	8e-07	5.58596
0.138728	8e-07	5.58502
0.140338	8e-07	5.59996
0.141948	8e-07	5.60718
0.143559	8e-07	5.6133
0.145169	8e-07	5.62386
0.146779	8e-07	5.62682
0.14839	8e-07	5.62994
0.15	8e-07	5.63262
0.151613	8e-07	5.63332
0.153281	8e-07	5.4583
0.15495	8e-07	5.59191
0.156618	8e-07	5.60891
0.158287	8e-07	5.62886
0.159956	8e-07	5.64648
0.161624	8e-07	5.66084
0.163293	8e-07	5.67565
0.164889	8e-07	5.96588
0.166484	8e-07	5.79271
0.16816	8e-07	5.50067
0.169836	8e-07	5.66262
0.171512	8e-07	5.67699
0.173188	8e-07	5.69693
0.174765	8e-07	6.08477
0.176342	8e-07	5.86149
0.177919	8e-07	5.845
0.179496	8e-07	5.82843
0.181074	8e-07	5.8068
0.182651	8e-07	5.7962
0.184228	8e-07	5.80084
0.185805	8e-07	5.80616
0.187382	8e-07	5.80615
0.18896	8e-07	5.81157
0.190537	8e-07	5.81572
0.192114	8e-07	5.81742
0.193691	8e-07	5.81993
0.195268	8e-07	5.82446
0.196846	8e-07	5.82859
0.198423	8e-07	5.83274
0.2	8e-07	5.83711
0.201613	8e-07	5.71196
0.203226	8e-07	5.80436
0.204839	8e-07	5.81524
0.206452	8e-07	5.82955
0.208065	8e-07	5.84385
0.209677	8e-07	5.85121
0.21129	8e-07	5.8549
0.212903	8e-07	5.85915
0.214516	8e-07	5.86497
0.216129	8e-07	5.86546
0.217742	8e-07	5.86767
0.219355	8e-07	5.8702
0.220968	8e-07	5.87344
0.222581	8e-07	5.87633
0.224194	8e-07	5.87875
0.225806	8e-07	5.87914
0.227419	8e-07	5.88184
0.229032	8e-07	5.88356
0.230645	8e-07	5.88694
0.232258	8e-07	5.8891
0.233871	8e-07	5.89257
0.235484	8e-07	5.89521
0.237097	8e-07	5.89728
0.23871	8e-07	5.90046
0.240323	8e-07	5.9028
0.241935	8e-07	5.90361
0.243548	8e-07	5.90545
0.245161	8e-07	5.90715
0.246774	8e-07	5.90904
0.248387	8e-07	5.9096
0.25	8e-07	5.91096
0.251613	8e-07	5.9124
0.253226	8e-07	5.91399
0.254839	8e-07	5.91561
0.256452	8e-07	5.91742
