# Source : patch region0_to_panelRegion_panel
# Faces  : 10
# Time	sum(magSf)	sum(phiGas)
0.0011976	0.1	0
0.00262784	0.1	0
0.00432932	0.1	0
0.00636756	0.1	0
0.00878796	0.1	0
0.0116851	0.1	0
0.015109	0.1	0
0.0191284	0.1	0
0.0238882	0.1	0
0.0295692	0.1	0
0.0361242	0.1	0
0.0439278	0.1	0
0.0531086	0.1	0
0.0629013	0.1	0
0.0726941	0.1	0
0.0824868	0.1	0
0.0922796	0.1	0
0.102072	0.1	0
0.111865	0.1	0
0.121658	0.1	0
0.131451	0.1	0
0.141243	0.1	0
0.151036	0.1	0
0.160829	0.1	0
0.170622	0.1	0
0.180414	0.1	0
0.190207	0.1	0
0.2	0.1	0
0.209524	0.1	0
0.219048	0.1	0
0.228571	0.1	0
0.238095	0.1	0
0.247619	0.1	0
0.257143	0.1	0
0.266667	0.1	0
0.27619	0.1	0
0.285714	0.1	0
0.295238	0.1	0
0.304762	0.1	0
0.314286	0.1	0
0.32381	0.1	0
0.333333	0.1	0
0.342857	0.1	0
0.352381	0.1	0
0.361905	0.1	0
0.371429	0.1	0
0.380952	0.1	0
0.390476	0.1	0
0.4	0.1	0
0.409524	0.1	0
0.419048	0.1	0
0.428571	0.1	0
0.438095	0.1	0
0.447619	0.1	0
0.457143	0.1	1.67501e-09
0.466667	0.1	2.75617e-09
0.47619	0.1	4.42164e-09
0.485714	0.1	6.93016e-09
0.495238	0.1	1.06313e-08
0.504762	0.1	1.59896e-08
0.514286	0.1	2.10225e-08
0.52381	0.1	2.74652e-08
0.533333	0.1	3.56503e-08
0.542857	0.1	4.59701e-08
0.552381	0.1	5.88846e-08
0.561905	0.1	7.49296e-08
0.571429	0.1	9.47248e-08
0.580952	0.1	1.19034e-07
0.590476	0.1	1.48705e-07
0.6	0.1	1.84695e-07
0.61	0.1	2.41516e-07
0.62	0.1	3.16419e-07
0.63	0.1	4.11536e-07
0.64	0.1	5.28344e-07
0.65	0.1	6.72395e-07
0.66	0.1	8.48498e-07
0.67	0.1	1.06238e-06
0.68	0.1	1.32156e-06
0.69	0.1	1.63341e-06
0.7	0.1	2.00502e-06
0.71	0.1	2.30671e-06
0.72	0.1	2.65681e-06
0.73	0.1	3.06447e-06
0.74	0.1	3.54128e-06
0.75	0.1	4.10082e-06
0.76	0.1	4.75928e-06
0.77	0.1	5.53627e-06
0.78	0.1	6.45514e-06
0.79	0.1	7.54592e-06
0.8	0.1	8.83974e-06
0.81	0.1	1.01309e-05
0.82	0.1	1.16075e-05
0.83	0.1	1.32969e-05
0.84	0.1	1.52304e-05
0.85	0.1	1.74472e-05
0.86	0.1	1.99999e-05
0.87	0.1	2.2955e-05
0.88	0.1	2.63994e-05
0.89	0.1	3.04415e-05
0.9	0.1	3.5217e-05
0.91	0.1	3.81633e-05
0.92	0.1	4.14136e-05
0.93	0.1	4.49696e-05
0.94	0.1	4.88333e-05
0.95	0.1	5.30348e-05
0.96	0.1	5.76231e-05
0.97	0.1	6.26694e-05
0.98	0.1	6.82773e-05
0.99	0.1	7.4582e-05
1	0.1	8.176e-05
1.00952	0.1	8.5087e-05
1.01905	0.1	8.83646e-05
1.02857	0.1	9.18483e-05
1.0381	0.1	9.54817e-05
1.04762	0.1	9.92417e-05
1.05714	0.1	0.000103121
1.06667	0.1	0.000107125
1.07619	0.1	0.000111266
1.08571	0.1	0.00011557
1.09524	0.1	0.000120067
1.10476	0.1	0.000124207
1.11429	0.1	0.000128294
1.12381	0.1	0.0001323
1.13333	0.1	0.000136213
1.14286	0.1	0.000140035
1.15238	0.1	0.00014377
1.1619	0.1	0.000147427
1.17143	0.1	0.000151017
1.18095	0.1	0.00015455
1.19048	0.1	0.00015804
1.2	0.1	0.000161444
1.21	0.1	0.000164568
1.22	0.1	0.000168655
1.23	0.1	0.000172807
1.24	0.1	0.000176962
1.25	0.1	0.00018107
1.26	0.1	0.000185094
1.27	0.1	0.000189016
1.28	0.1	0.000192824
1.29	0.1	0.00019652
1.3	0.1	0.00020438
1.31	0.1	0.000211331
1.32	0.1	0.00021755
1.33	0.1	0.000223036
1.34	0.1	0.000228026
1.35	0.1	0.00023255
1.36	0.1	0.000236706
1.37	0.1	0.00024058
1.38	0.1	0.000244238
1.39	0.1	0.00024773
1.4	0.1	0.000262361
1.41	0.1	0.00027382
1.42	0.1	0.000282696
1.43	0.1	0.000289655
1.44	0.1	0.00029524
1.45	0.1	0.000299875
1.46	0.1	0.000303863
1.47	0.1	0.000307415
1.48	0.1	0.000310673
1.49	0.1	0.000313734
1.5	0.1	0.000321603
1.51	0.1	0.000328492
1.52	0.1	0.00033454
1.53	0.1	0.00034
1.54	0.1	0.000344839
1.55	0.1	0.00034923
1.56	0.1	0.000353348
1.57	0.1	0.000357116
1.58	0.1	0.000360607
1.59	0.1	0.00036389
1.6	0.1	0.00035707
1.61	0.1	0.000354537
1.62	0.1	0.000354461
1.63	0.1	0.000355843
1.64	0.1	0.000358062
1.65	0.1	0.000360743
1.66	0.1	0.000363675
1.67	0.1	0.000366729
1.68	0.1	0.000369819
1.69	0.1	0.000372895
1.7	0.1	0.000366432
1.71	0.1	0.000363438
1.72	0.1	0.000362562
1.73	0.1	0.000363043
1.74	0.1	0.000364427
1.75	0.1	0.000366426
1.76	0.1	0.000368847
1.77	0.1	0.000371561
1.78	0.1	0.000374472
1.79	0.1	0.000377514
1.8	0.1	0.000377802
1.81	0.1	0.000378893
1.82	0.1	0.000380554
1.83	0.1	0.000382615
1.84	0.1	0.000384978
1.85	0.1	0.000387561
1.86	0.1	0.000390303
1.87	0.1	0.000393166
1.88	0.1	0.000396117
1.89	0.1	0.000399129
1.9	0.1	0.000407782
1.91	0.1	0.000414659
1.92	0.1	0.000420315
1.93	0.1	0.000425145
1.94	0.1	0.00042944
1.95	0.1	0.000433325
1.96	0.1	0.000436914
1.97	0.1	0.000440299
1.98	0.1	0.000443524
1.99	0.1	0.000446623
2	0.1	0.000471481
2.00952	0.1	0.000492258
2.01905	0.1	0.00050553
2.02857	0.1	0.000516099
2.0381	0.1	0.000524791
2.04762	0.1	0.000532174
2.05714	0.1	0.000538638
2.06667	0.1	0.000544452
2.07619	0.1	0.000549798
2.08571	0.1	0.000554798
2.09524	0.1	0.00059041
2.10476	0.1	0.000616742
2.11429	0.1	0.000636474
2.12381	0.1	0.000651846
2.13333	0.1	0.000664342
2.14286	0.1	0.000674957
2.15238	0.1	0.000684246
2.1619	0.1	0.000692578
2.17143	0.1	0.000700213
2.18095	0.1	0.000707334
2.19048	0.1	0.00073572
2.2	0.1	0.000756339
2.20952	0.1	0.0007721
2.21905	0.1	0.00078496
2.22857	0.1	0.000795923
2.2381	0.1	0.000805639
2.24762	0.1	0.000814501
2.25714	0.1	0.000822756
2.26667	0.1	0.000830559
2.27619	0.1	0.000838019
2.28571	0.1	0.000894134
2.29524	0.1	0.00092906
2.30476	0.1	0.000951491
2.31429	0.1	0.000967534
2.32381	0.1	0.000980247
2.33333	0.1	0.000991096
2.34286	0.1	0.0010008
2.35238	0.1	0.00100975
2.3619	0.1	0.00101817
2.37143	0.1	0.00102621
2.38095	0.1	0.0010889
2.39048	0.1	0.00112444
2.4	0.1	0.00114675
2.41	0.1	0.00115789
2.42	0.1	0.00117343
2.42947	0.1	0.00119161
2.43895	0.1	0.00119991
2.44842	0.1	0.00120853
2.45789	0.1	0.00121697
2.46737	0.1	0.00122518
2.47684	0.1	0.00119876
2.48632	0.1	0.00119481
2.49579	0.1	0.00119784
2.50526	0.1	0.00120346
2.51474	0.1	0.0012101
2.52421	0.1	0.00121712
2.53368	0.1	0.00122426
2.54316	0.1	0.00123138
2.55263	0.1	0.00123842
2.56211	0.1	0.00124534
2.57158	0.1	0.00118977
2.58105	0.1	0.00116283
2.59053	0.1	0.00114887
2.6	0.1	0.00114175
2.60952	0.1	0.0011381
2.61905	0.1	0.00113753
2.62857	0.1	0.0011385
2.6381	0.1	0.0011405
2.64762	0.1	0.0011432
2.65714	0.1	0.00114639
2.66667	0.1	0.00110747
2.67619	0.1	0.00108473
2.68571	0.1	0.00107046
2.69524	0.1	0.00106128
2.70476	0.1	0.00105538
2.71429	0.1	0.00105171
2.72381	0.1	0.00104962
2.73333	0.1	0.00104873
2.74286	0.1	0.00104871
2.75238	0.1	0.00104931
2.7619	0.1	0.00113028
2.77143	0.1	0.0011867
2.78095	0.1	0.00122073
2.79048	0.1	0.00124073
2.8	0.1	0.00125276
2.81	0.1	0.00125546
2.82	0.1	0.00126214
2.82947	0.1	0.00127197
2.83895	0.1	0.00127347
2.84842	0.1	0.00127516
2.85789	0.1	0.00146803
2.86737	0.1	0.00158175
2.87684	0.1	0.00164672
2.88632	0.1	0.00168842
2.89579	0.1	0.00171769
2.90526	0.1	0.00173968
2.91474	0.1	0.00175678
2.92421	0.1	0.00177069
2.93368	0.1	0.00178233
2.94316	0.1	0.0017921
2.95263	0.1	0.00190976
2.96211	0.1	0.00197945
2.97158	0.1	0.00202582
2.98105	0.1	0.00205969
2.99053	0.1	0.00208592
3	0.1	0.00210698
