# Source : patch region0_to_panelRegion_panel
# Faces  : 10
# Time	sum(magSf)	sum(phi)	sum(HRR_fu)
0.0011976	0.1	1.21973e-19	4.92487e-07
0.00262784	0.1	9.48677e-20	4.63574e-07
0.00432932	0.1	5.42101e-20	4.63574e-07
0.00636756	0.1	1.35525e-19	4.63574e-07
0.00878796	0.1	1.6263e-19	4.63574e-07
0.0116851	0.1	1.89735e-19	4.63574e-07
0.015109	0.1	0	4.63574e-07
0.0191284	0.1	-7.04731e-19	4.63574e-07
0.0238882	0.1	-6.50521e-19	4.63573e-07
0.0295692	0.1	3.25261e-19	4.63573e-07
0.0361242	0.1	2.1684e-19	4.63572e-07
0.0439278	0.1	-4.33681e-19	4.6357e-07
0.0531086	0.1	-3.25261e-19	4.63566e-07
0.0629013	0.1	1.30104e-18	4.63559e-07
0.0726941	0.1	7.58942e-19	4.63549e-07
0.0824868	0.1	-1.30104e-18	4.63536e-07
0.0922796	0.1	-2.1684e-19	4.63523e-07
0.102072	0.1	2.1684e-19	4.63512e-07
0.111865	0.1	-6.50521e-19	4.63502e-07
0.121658	0.1	-4.33681e-19	4.63493e-07
0.131451	0.1	1.0842e-18	4.637e-07
0.141243	0.1	-2.1684e-19	4.6368e-07
0.151036	0.1	-4.33681e-19	4.63662e-07
0.160829	0.1	6.50521e-19	4.63639e-07
0.170622	0.1	4.33681e-19	4.63626e-07
0.180414	0.1	8.67362e-19	4.63617e-07
0.190207	0.1	0	4.63604e-07
0.2	0.1	-2.1684e-18	4.63592e-07
0.209524	0.1	-4.33681e-19	4.63582e-07
0.219048	0.1	-1.51788e-18	4.63568e-07
0.228571	0.1	-8.67362e-19	4.63717e-07
0.238095	0.1	-4.33681e-19	4.63698e-07
0.247619	0.1	-2.1684e-19	4.6368e-07
0.257143	0.1	2.1684e-19	4.63662e-07
0.266667	0.1	-8.67362e-19	4.63646e-07
0.27619	0.1	1.73472e-18	4.6363e-07
0.285714	0.1	-4.33681e-19	4.63615e-07
0.295238	0.1	-2.1684e-19	4.63599e-07
0.304762	0.1	8.67362e-19	4.63582e-07
0.314286	0.1	1.30104e-18	4.63563e-07
0.32381	0.1	-1.0842e-18	4.63653e-07
0.333333	0.1	-2.1684e-19	4.63619e-07
0.342857	0.1	-1.30104e-18	4.6358e-07
0.352381	0.1	-1.73472e-18	4.63539e-07
0.361905	0.1	-6.50521e-19	4.63493e-07
0.371429	0.1	-6.50521e-19	4.63437e-07
0.380952	0.1	2.1684e-19	4.6337e-07
0.390476	0.1	-1.30104e-18	4.63294e-07
0.4	0.1	1.30104e-18	4.63204e-07
0.409524	0.1	-3.25261e-18	4.63102e-07
0.419048	0.1	2.60209e-18	4.63553e-07
0.428571	0.1	-2.1684e-18	4.63373e-07
0.438095	0.1	4.33681e-19	4.63163e-07
0.447619	0.1	1.73472e-18	4.62902e-07
0.457143	0.1	-3.03577e-18	4.62588e-07
0.466667	0.1	4.33681e-18	4.62205e-07
0.47619	0.1	-4.33681e-18	4.61774e-07
0.485714	0.1	1.73472e-18	4.61253e-07
0.495238	0.1	8.67362e-19	4.60671e-07
0.504762	0.1	-1.30104e-18	4.59993e-07
0.514286	0.1	-8.67362e-19	4.59791e-07
0.52381	0.1	-1.73472e-18	4.58886e-07
0.533333	0.1	3.03577e-18	4.57866e-07
0.542857	0.1	-1.73472e-18	4.56728e-07
0.552381	0.1	2.60209e-18	4.55443e-07
0.561905	0.1	6.50521e-18	4.53966e-07
0.571429	0.1	4.77049e-18	4.52338e-07
0.580952	0.1	-3.03577e-18	4.50537e-07
0.590476	0.1	2.1684e-18	4.48594e-07
0.6	0.1	-3.90313e-18	4.46496e-07
0.61	0.1	8.67362e-19	4.45009e-07
0.62	0.1	2.60209e-18	4.42628e-07
0.63	0.1	-1.30104e-18	4.40032e-07
0.64	0.1	3.90313e-18	4.37273e-07
0.65	0.1	-2.60209e-18	4.34423e-07
0.66	0.1	-1.30104e-18	4.31486e-07
0.67	0.1	9.1073e-18	4.28575e-07
0.68	0.1	6.50521e-18	4.25684e-07
