# Source : patch region0_to_panelRegion_panel
# Faces  : 10
# Time	sum(magSf)	areaIntegrate(Qr)
0.0011976	0.1	0
0.00262784	0.1	0
0.00432932	0.1	0
0.00636756	0.1	0
0.00878796	0.1	0
0.0116851	0.1	0
0.015109	0.1	0
0.0191284	0.1	0
0.0238882	0.1	0
0.0295692	0.1	0.554759
0.0361242	0.1	0.554759
0.0439278	0.1	0.554759
0.0531086	0.1	0.554759
0.0629013	0.1	0.554759
0.0726941	0.1	0.554759
0.0824868	0.1	0.554759
0.0922796	0.1	0.554759
0.102072	0.1	0.554759
0.111865	0.1	0.554759
0.121658	0.1	63.8969
0.131451	0.1	63.8969
0.141243	0.1	63.8969
0.151036	0.1	63.8969
0.160829	0.1	63.8969
0.170622	0.1	63.8969
0.180414	0.1	63.8969
0.190207	0.1	63.8969
0.2	0.1	63.8969
0.209524	0.1	63.8969
0.219048	0.1	112.787
0.228571	0.1	112.787
0.238095	0.1	112.787
0.247619	0.1	112.787
0.257143	0.1	112.787
0.266667	0.1	112.787
0.27619	0.1	112.787
0.285714	0.1	112.787
0.295238	0.1	112.787
0.304762	0.1	112.787
0.314286	0.1	148.528
0.32381	0.1	148.528
0.333333	0.1	148.528
0.342857	0.1	148.528
0.352381	0.1	148.528
0.361905	0.1	148.528
0.371429	0.1	148.528
0.380952	0.1	148.528
0.390476	0.1	148.528
0.4	0.1	148.528
0.409524	0.1	338.997
0.419048	0.1	338.997
0.428571	0.1	338.997
0.438095	0.1	338.997
0.447619	0.1	338.997
0.457143	0.1	338.997
0.466667	0.1	338.997
0.47619	0.1	338.997
0.485714	0.1	338.997
0.495238	0.1	338.997
0.504762	0.1	490.007
0.514286	0.1	490.007
0.52381	0.1	490.007
0.533333	0.1	490.007
0.542857	0.1	490.007
0.552381	0.1	490.007
0.561905	0.1	490.007
0.571429	0.1	490.007
0.580952	0.1	490.007
0.590476	0.1	490.007
0.6	0.1	734.161
0.61	0.1	734.161
0.62	0.1	734.161
0.63	0.1	734.161
0.64	0.1	734.161
0.65	0.1	734.161
0.66	0.1	734.161
0.67	0.1	734.161
0.68	0.1	734.161
0.69	0.1	734.161
0.7	0.1	1069.55
0.71	0.1	1069.55
0.72	0.1	1069.55
0.73	0.1	1069.55
0.74	0.1	1069.55
0.75	0.1	1069.55
0.76	0.1	1069.55
0.77	0.1	1069.55
0.78	0.1	1069.55
0.79	0.1	1069.55
0.8	0.1	1517.37
0.81	0.1	1517.37
0.82	0.1	1517.37
0.83	0.1	1517.37
0.84	0.1	1517.37
0.85	0.1	1517.37
0.86	0.1	1517.37
0.87	0.1	1517.37
0.88	0.1	1517.37
0.89	0.1	1517.37
0.9	0.1	1832.16
0.91	0.1	1832.16
0.92	0.1	1832.16
0.93	0.1	1832.16
0.94	0.1	1832.16
0.95	0.1	1832.16
0.96	0.1	1832.16
0.97	0.1	1832.16
0.98	0.1	1832.16
0.99	0.1	1832.16
1	0.1	2235.75
1.00952	0.1	2235.75
1.01905	0.1	2235.75
1.02857	0.1	2235.75
1.0381	0.1	2235.75
1.04762	0.1	2235.75
1.05714	0.1	2235.75
1.06667	0.1	2235.75
1.07619	0.1	2235.75
1.08571	0.1	2235.75
1.09524	0.1	2452.04
1.10476	0.1	2452.04
1.11429	0.1	2452.04
1.12381	0.1	2452.04
1.13333	0.1	2452.04
1.14286	0.1	2452.04
1.15238	0.1	2452.04
1.1619	0.1	2452.04
1.17143	0.1	2452.04
1.18095	0.1	2452.04
1.19048	0.1	2623.87
1.2	0.1	2623.87
1.21	0.1	2623.87
1.22	0.1	2623.87
1.23	0.1	2623.87
1.24	0.1	2623.87
1.25	0.1	2623.87
1.26	0.1	2623.87
1.27	0.1	2623.87
1.28	0.1	2623.87
1.28923	0.1	2635.09
1.29846	0.1	2635.09
1.30692	0.1	2635.09
1.31538	0.1	2635.09
1.32385	0.1	2635.09
1.33231	0.1	2635.09
1.34077	0.1	2635.09
1.34923	0.1	2635.09
1.35769	0.1	2635.09
1.36615	0.1	2635.09
1.37292	0.1	2666.43
1.37969	0.1	2666.43
1.38646	0.1	2666.43
1.39323	0.1	2666.43
1.4	0.1	2666.43
1.40741	0.1	2666.43
1.41481	0.1	2666.43
1.42222	0.1	2666.43
1.42933	0.1	2666.43
1.43644	0.1	2666.43
1.44326	0.1	1629.65
1.45007	0.1	1629.65
1.45659	0.1	1629.65
1.46311	0.1	1629.65
1.46963	0.1	1629.65
1.47584	0.1	1629.65
1.48175	0.1	1629.65
1.48738	0.1	1629.65
1.49274	0.1	1629.65
1.49785	0.1	1629.65
