# Source : patch region0_to_panelRegion_panel
# Faces  : 10
# Time	sum(magSf)	sum(phiGas)
0.0011976	0.1	0
0.00262784	0.1	0
0.00432932	0.1	0
0.00636756	0.1	0
0.00878796	0.1	0
0.0116851	0.1	0
0.015109	0.1	0
0.0191284	0.1	0
0.0238882	0.1	0
0.0295692	0.1	0
0.0361242	0.1	0
0.0439278	0.1	0
0.0531086	0.1	0
0.0629013	0.1	0
0.0726941	0.1	0
0.0824868	0.1	0
0.0922796	0.1	0
0.102072	0.1	0
0.111865	0.1	0
0.121658	0.1	0
0.131451	0.1	0
0.141243	0.1	0
0.151036	0.1	0
0.160829	0.1	0
0.170622	0.1	0
0.180414	0.1	0
0.190207	0.1	0
0.2	0.1	0
0.209524	0.1	0
0.219048	0.1	0
0.228571	0.1	0
0.238095	0.1	0
0.247619	0.1	0
0.257143	0.1	0
0.266667	0.1	0
0.27619	0.1	0
0.285714	0.1	0
0.295238	0.1	0
0.304762	0.1	0
0.314286	0.1	0
0.32381	0.1	0
0.333333	0.1	0
0.342857	0.1	0
0.352381	0.1	0
0.361905	0.1	0
0.371429	0.1	0
0.380952	0.1	0
0.390476	0.1	0
0.4	0.1	0
0.409524	0.1	0
0.419048	0.1	0
0.428571	0.1	0
0.438095	0.1	0
0.447619	0.1	0
0.457143	0.1	0
0.466667	0.1	0
0.47619	0.1	0
0.485714	0.1	0
0.495238	0.1	0
0.504762	0.1	0
0.514286	0.1	0
0.52381	0.1	0
0.533333	0.1	0
0.542857	0.1	0
0.552381	0.1	0
0.561905	0.1	0
0.571429	0.1	0
0.580952	0.1	0
0.590476	0.1	0
0.6	0.1	0
0.61	0.1	0
0.62	0.1	0
0.63	0.1	0
0.64	0.1	0
0.65	0.1	0
0.66	0.1	0
0.67	0.1	0
0.68	0.1	0
0.69	0.1	0
0.7	0.1	0
0.71	0.1	1.11214e-09
0.72	0.1	1.26884e-09
0.73	0.1	1.44445e-09
0.74	0.1	1.64118e-09
0.75	0.1	1.86141e-09
0.76	0.1	2.10782e-09
0.77	0.1	2.38333e-09
0.78	0.1	3.74958e-09
0.79	0.1	4.4994e-09
0.8	0.1	5.41744e-09
0.81	0.1	6.30896e-09
0.82	0.1	7.34517e-09
0.83	0.1	8.54333e-09
0.84	0.1	9.92205e-09
0.85	0.1	1.26186e-08
0.86	0.1	1.50696e-08
0.87	0.1	1.80757e-08
0.88	0.1	2.17797e-08
0.89	0.1	2.63613e-08
0.9	0.1	3.20457e-08
0.91	0.1	3.56254e-08
0.92	0.1	3.9702e-08
0.93	0.1	4.43185e-08
0.94	0.1	5.08477e-08
0.95	0.1	5.74707e-08
0.96	0.1	6.51665e-08
0.97	0.1	7.41438e-08
0.98	0.1	8.46591e-08
0.99	0.1	9.70261e-08
1	0.1	1.11629e-07
1.00952	0.1	1.23086e-07
1.01905	0.1	1.37139e-07
1.02857	0.1	1.52866e-07
1.0381	0.1	1.71176e-07
1.04762	0.1	1.92367e-07
1.05714	0.1	2.16802e-07
1.06667	0.1	2.4491e-07
1.07619	0.1	2.78346e-07
1.08571	0.1	3.15548e-07
1.09524	0.1	3.5822e-07
1.10476	0.1	3.65763e-07
1.11429	0.1	3.76616e-07
1.12381	0.1	3.92775e-07
1.13333	0.1	4.12039e-07
1.14286	0.1	4.35392e-07
1.15238	0.1	4.63058e-07
1.1619	0.1	4.95389e-07
1.17143	0.1	5.3285e-07
1.18095	0.1	5.77481e-07
1.19048	0.1	6.27873e-07
1.2	0.1	6.63254e-07
1.21	0.1	7.07117e-07
1.22	0.1	7.65065e-07
1.23	0.1	8.36276e-07
1.24	0.1	9.25804e-07
1.25	0.1	1.0401e-06
1.26	0.1	1.18834e-06
1.27	0.1	1.38445e-06
1.28	0.1	1.6441e-06
1.28923	0.1	1.99122e-06
1.29846	0.1	2.26438e-06
1.30692	0.1	2.59372e-06
1.31538	0.1	2.95571e-06
1.32385	0.1	3.38817e-06
1.33231	0.1	3.9066e-06
1.34077	0.1	4.52999e-06
1.34923	0.1	5.28136e-06
1.35769	0.1	6.18955e-06
1.36615	0.1	7.28656e-06
1.37292	0.1	8.61499e-06
1.37969	0.1	9.38183e-06
1.38646	0.1	1.03266e-05
1.39323	0.1	1.1501e-05
1.4	0.1	1.29701e-05
1.40741	0.1	1.48139e-05
1.41481	0.1	1.73962e-05
1.42222	0.1	2.07393e-05
1.42933	0.1	2.50638e-05
1.43644	0.1	3.03626e-05
1.44326	0.1	3.70448e-05
1.45007	0.1	3.47599e-05
1.45659	0.1	3.29756e-05
1.46311	0.1	3.16199e-05
1.46963	0.1	3.05434e-05
1.47584	0.1	2.97078e-05
1.48175	0.1	2.9094e-05
1.48738	0.1	2.86548e-05
1.49274	0.1	2.83543e-05
1.49785	0.1	2.81621e-05
